ID	Phase	Diets
ERR1842997	rumen fluid	corn
ERR1842998	rumen fluid	corn
ERR1842999	rumen fluid	corn
ERR1843000	rumen fluid	grass
ERR1843001	rumen fluid	grass
ERR1843002	rumen fluid	grass
ERR1843003	rumen fluid	hay
ERR1843004	rumen fluid	hay
ERR1843005	rumen fluid	hay
ERR1843006	liquid phase	corn
ERR1843007	liquid phase	corn
ERR1843008	liquid phase	corn
ERR1843009	liquid phase	grass
ERR1843010	liquid phase	grass
ERR1843011	liquid phase	grass
ERR1843012	liquid phase	hay
ERR1843013	liquid phase	hay
ERR1843014	liquid phase	hay
ERR1843015	solid phase	corn
ERR1843016	solid phase	corn
ERR1843017	solid phase	corn
ERR1843018	solid phase	grass
ERR1843019	solid phase	grass
ERR1843020	solid phase	grass
ERR1843021	solid phase	hay
ERR1843022	solid phase	hay
ERR1843023	solid phase	hay
