ID	Phase	Diets
ERR1842970	rumen fluid	corn
ERR1842971	rumen fluid	corn
ERR1842972	rumen fluid	corn
ERR1842973	rumen fluid	grass
ERR1842974	rumen fluid	grass
ERR1842975	rumen fluid	grass
ERR1842976	rumen fluid	hay
ERR1842977	rumen fluid	hay
ERR1842978	rumen fluid	hay
ERR1842979	liquid phase	corn
ERR1842980	liquid phase	corn
ERR1842981	liquid phase	corn
ERR1842982	liquid phase	grass
ERR1842983	liquid phase	grass
ERR1842984	liquid phase	grass
ERR1842985	liquid phase	hay
ERR1842986	liquid phase	hay
ERR1842987	liquid phase	hay
ERR1842988	solid phase	corn
ERR1842989	solid phase	corn
ERR1842990	solid phase	corn
ERR1842991	solid phase	grass
ERR1842992	solid phase	grass
ERR1842993	solid phase	grass
ERR1842994	solid phase	hay
ERR1842995	solid phase	hay
ERR1842996	solid phase	hay
