ID	Experiment ID	Biosample ID	Bioproject ID	Study ID	Sample Accession	Organism	Library Source	Library Layout	Library Selection	Instrument	Platform	Bases	Spots	Avg Spot Len	Bytes	Public	Alias [sample]	Center Name	Description [sample]	Ena checklist [sample]	Ena-first-public [run]	Ena-first-public [study]	Ena-last-update [run]	Ena-last-update [study]	Insdc center name [sample]	Insdc first public [sample]	Insdc last update [sample]	Insdc status [sample]	Library Name	Name	Sample name [sample]	Sra accession [sample]	Tax ID	Title	Title [sample]
ERR1842970	ERX1904947	SAMEA93297418	PRJEB19491	ERP021536	ERS1562511	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	75939046	151273	502	53338062	True	C_RF_23	UNIVERSITY HOHENHEIM	rumen fluid corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93297418	ERS1562511	ERS1562511	371813	C_RF_23	Sample
ERR1842971	ERX1904948	SAMEA93298168	PRJEB19491	ERP021536	ERS1562512	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	65247952	129976	502	45572380	True	C_RF_59	UNIVERSITY HOHENHEIM	rumen fluid corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93298168	ERS1562512	ERS1562512	371813	C_RF_59	Sample
ERR1842972	ERX1904949	SAMEA93298918	PRJEB19491	ERP021536	ERS1562513	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	68327722	136111	502	47863124	True	C_RF_28	UNIVERSITY HOHENHEIM	rumen fluid corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93298918	ERS1562513	ERS1562513	371813	C_RF_28	Sample
ERR1842973	ERX1904950	SAMEA93299668	PRJEB19491	ERP021536	ERS1562514	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	55938362	111431	502	39441230	True	G_RF_28	UNIVERSITY HOHENHEIM	rumen fluid grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93299668	ERS1562514	ERS1562514	371813	G_RF_28	Sample
ERR1842974	ERX1904951	SAMEA93300418	PRJEB19491	ERP021536	ERS1562515	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	53724040	107020	502	37579232	True	G_RF_23	UNIVERSITY HOHENHEIM	rumen fluid grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93300418	ERS1562515	ERS1562515	371813	G_RF_23	Sample
ERR1842975	ERX1904952	SAMEA93301168	PRJEB19491	ERP021536	ERS1562516	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	64034618	127559	502	44948547	True	G_RF_59	UNIVERSITY HOHENHEIM	rumen fluid grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93301168	ERS1562516	ERS1562516	371813	G_RF_59	Sample
ERR1842976	ERX1904953	SAMEA93301918	PRJEB19491	ERP021536	ERS1562517	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	53435892	106446	502	37570344	True	H_RF_59	UNIVERSITY HOHENHEIM	rumen fluid hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93301918	ERS1562517	ERS1562517	371813	H_RF_59	Sample
ERR1842977	ERX1904954	SAMEA93302668	PRJEB19491	ERP021536	ERS1562518	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	53014212	105606	502	37208700	True	H_RF_28	UNIVERSITY HOHENHEIM	rumen fluid hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93302668	ERS1562518	ERS1562518	371813	H_RF_28	Sample
ERR1842978	ERX1904955	SAMEA93303418	PRJEB19491	ERP021536	ERS1562519	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	46050468	91734	502	32340286	True	H_RF_23	UNIVERSITY HOHENHEIM	rumen fluid hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93303418	ERS1562519	ERS1562519	371813	H_RF_23	Sample
ERR1842979	ERX1904956	SAMEA93304168	PRJEB19491	ERP021536	ERS1562520	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	47252758	94129	502	33199841	True	C_LP_23	UNIVERSITY HOHENHEIM	liquid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:13Z	public	unspecified	SAMEA93304168	ERS1562520	ERS1562520	371813	C_LP_23	Sample
ERR1842980	ERX1904957	SAMEA93304918	PRJEB19491	ERP021536	ERS1562521	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	44660932	88966	502	31292698	True	C_LP_59	UNIVERSITY HOHENHEIM	liquid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93304918	ERS1562521	ERS1562521	371813	C_LP_59	Sample
