# Constructed from biom file
#OTU ID	ERR1842970	ERR1842971	ERR1842972	ERR1842973	ERR1842974	ERR1842975	ERR1842976	ERR1842977	ERR1842978	ERR1842979	ERR1842980	ERR1842981	ERR1842982	ERR1842983	ERR1842984	ERR1842985	ERR1842986	ERR1842987	ERR1842988	ERR1842989	ERR1842990	ERR1842991	ERR1842992	ERR1842993	ERR1842994	ERR1842995	ERR1842996
18149f2e17cbffa9665ceaf38b049a50	5342.0	1835.0	3609.0	4820.0	337.0	2406.0	2294.0	1666.0	636.0	3833.0	806.0	3546.0	3530.0	443.0	3699.0	1595.0	2452.0	3766.0	1398.0	2911.0	1246.0	736.0	361.0	679.0	1060.0	607.0	527.0
73a13ff126c927a9b32a24d6ff8bc4e9	1561.0	1110.0	781.0	710.0	464.0	513.0	523.0	1072.0	639.0	860.0	806.0	858.0	635.0	652.0	662.0	787.0	1332.0	2436.0	818.0	1934.0	955.0	235.0	1031.0	1162.0	528.0	936.0	490.0
293d7a21621b0364148f2927d19384b9	0.0	3604.0	213.0	116.0	0.0	1538.0	1061.0	2440.0	0.0	18.0	1678.0	605.0	124.0	0.0	768.0	383.0	3439.0	0.0	0.0	1114.0	178.0	140.0	13.0	0.0	1092.0	559.0	788.0
90779fabb8e41977ee08cfc198925949	834.0	226.0	744.0	626.0	608.0	451.0	1275.0	527.0	563.0	881.0	471.0	686.0	793.0	1805.0	662.0	1793.0	591.0	846.0	237.0	179.0	171.0	96.0	293.0	104.0	253.0	180.0	105.0
750a15a44d61cca1ca44980f47c597ab	532.0	2112.0	1517.0	361.0	266.0	2437.0	505.0	631.0	2170.0	488.0	1071.0	239.0	440.0	159.0	381.0	584.0	355.0	349.0	27.0	98.0	24.0	19.0	15.0	0.0	12.0	32.0	46.0
323277ea0bb9d377d47b043159041bce	713.0	59.0	210.0	841.0	1374.0	141.0	144.0	145.0	406.0	379.0	74.0	606.0	781.0	1507.0	269.0	95.0	265.0	1995.0	191.0	152.0	334.0	338.0	421.0	1569.0	45.0	182.0	221.0
087ab2eb380a763356983db27ff001cd	694.0	2299.0	1664.0	0.0	0.0	24.0	0.0	20.0	39.0	386.0	1705.0	762.0	12.0	0.0	15.0	0.0	52.0	106.0	191.0	4303.0	759.0	0.0	0.0	54.0	0.0	22.0	29.0
88f842ed8222ba5f446d75eb9d2439fa	237.0	481.0	270.0	392.0	929.0	902.0	658.0	482.0	945.0	250.0	389.0	140.0	446.0	586.0	210.0	1050.0	266.0	462.0	207.0	612.0	84.0	124.0	304.0	158.0	304.0	146.0	144.0
c7e6bf92f017ea5948a2aa5e64a20018	388.0	31.0	119.0	654.0	1234.0	58.0	117.0	110.0	403.0	220.0	37.0	390.0	616.0	1383.0	156.0	61.0	161.0	2081.0	91.0	106.0	232.0	234.0	411.0	1532.0	28.0	119.0	127.0
bb610053689856f1c0d1c7ef813e59c1	967.0	222.0	801.0	781.0	40.0	302.0	670.0	775.0	75.0	522.0	186.0	632.0	489.0	48.0	327.0	269.0	1299.0	559.0	211.0	469.0	218.0	170.0	116.0	137.0	347.0	269.0	101.0
4fd4c99626b4aca3ed0378a8d4147e70	728.0	614.0	437.0	184.0	2921.0	133.0	310.0	180.0	111.0	313.0	651.0	256.0	355.0	1596.0	52.0	467.0	111.0	123.0	149.0	289.0	89.0	154.0	297.0	111.0	114.0	63.0	98.0
1c070a88df9cabaca857b65a61f79925	704.0	1002.0	674.0	497.0	0.0	489.0	759.0	349.0	198.0	579.0	423.0	573.0	390.0	26.0	182.0	189.0	384.0	1114.0	338.0	252.0	240.0	142.0	0.0	483.0	289.0	185.0	355.0
80e684e3e52fdab469ba23de56a5aa4f	3638.0	0.0	0.0	262.0	0.0	0.0	1327.0	105.0	13.0	3504.0	0.0	0.0	239.0	0.0	0.0	547.0	110.0	155.0	348.0	0.0	0.0	71.0	0.0	18.0	334.0	20.0	0.0
8069253de2fb3c42890325d69167c35c	1006.0	367.0	807.0	860.0	0.0	432.0	444.0	364.0	119.0	654.0	125.0	756.0	715.0	84.0	530.0	317.0	507.0	646.0	293.0	479.0	308.0	164.0	66.0	122.0	207.0	126.0	84.0
ee8d1dd69f8aa22ef9db8461d1669987	1323.0	1382.0	877.0	405.0	0.0	44.0	139.0	675.0	43.0	503.0	657.0	686.0	257.0	0.0	28.0	52.0	840.0	184.0	241.0	516.0	760.0	75.0	0.0	143.0	42.0	440.0	28.0
