	ERR1842997	ERR1842998	ERR1842999	ERR1843000	ERR1843001	ERR1843002	ERR1843003	ERR1843004	ERR1843005	ERR1843006	ERR1843007	ERR1843008	ERR1843009	ERR1843010	ERR1843011	ERR1843012	ERR1843013	ERR1843014	ERR1843015	ERR1843016	ERR1843017	ERR1843018	ERR1843019	ERR1843020	ERR1843021	ERR1843022	ERR1843023
ERR1842997	0.0	0.5538	0.3826	0.2894	0.375	0.4884	0.4836	0.3912	0.4222	0.1992	0.5182	0.4742	0.2612	0.3522	0.5838	0.4458	0.4136	0.3554	0.3302	0.5572	0.5024	0.487	0.4712	0.465	0.6054	0.5498	0.6106
ERR1842998	0.5538	0.0	0.4114	0.526	0.6222	0.3572	0.4414	0.4936	0.6212	0.6408	0.2004	0.453	0.642	0.6372	0.4062	0.4352	0.5618	0.6372	0.5478	0.258	0.4298	0.4704	0.5518	0.5842	0.454	0.4824	0.4314
ERR1842999	0.3826	0.4114	0.0	0.3282	0.4928	0.3926	0.3696	0.2678	0.4912	0.4598	0.4516	0.2386	0.4554	0.4888	0.4798	0.3996	0.414	0.4632	0.32	0.4052	0.3166	0.3544	0.3688	0.3836	0.4588	0.4092	0.4618
ERR1843000	0.2894	0.526	0.3282	0.0	0.3208	0.4036	0.3878	0.2248	0.3736	0.4036	0.522	0.4278	0.2456	0.3232	0.5138	0.3408	0.244	0.3014	0.261	0.5256	0.3916	0.3326	0.391	0.3542	0.5148	0.4238	0.5338
ERR1843001	0.375	0.6222	0.4928	0.3208	0.0	0.4678	0.5144	0.4036	0.2266	0.422	0.59	0.5818	0.382	0.1748	0.6572	0.3372	0.4148	0.34	0.3842	0.6322	0.4946	0.4356	0.4314	0.3976	0.6174	0.5548	0.6246
ERR1843002	0.4884	0.3572	0.3926	0.4036	0.4678	0.0	0.335	0.4044	0.431	0.5964	0.3706	0.4592	0.504	0.49	0.4292	0.2998	0.4294	0.4662	0.5166	0.4288	0.4816	0.4388	0.4804	0.4644	0.4914	0.5368	0.495
ERR1843003	0.4836	0.4414	0.3696	0.3878	0.5144	0.335	0.0	0.3604	0.5374	0.6008	0.4422	0.4252	0.5346	0.5222	0.464	0.2422	0.4106	0.4906	0.4042	0.4314	0.3792	0.2972	0.4154	0.382	0.3482	0.4044	0.3844
ERR1843004	0.3912	0.4936	0.2678	0.2248	0.4036	0.4044	0.3604	0.0	0.4044	0.5012	0.492	0.3536	0.4098	0.442	0.4894	0.3178	0.2144	0.4446	0.3282	0.4806	0.303	0.2952	0.3978	0.3298	0.4748	0.357	0.4816
ERR1843005	0.4222	0.6212	0.4912	0.3736	0.2266	0.431	0.5374	0.4044	0.0	0.47	0.6096	0.6004	0.3888	0.3042	0.6814	0.3696	0.422	0.3424	0.4728	0.6584	0.5544	0.4996	0.4464	0.4116	0.639	0.5928	0.6764
ERR1843006	0.1992	0.6408	0.4598	0.4036	0.422	0.5964	0.6008	0.5012	0.47	0.0	0.6004	0.5396	0.2998	0.405	0.6262	0.5634	0.5198	0.3644	0.4272	0.624	0.593	0.5918	0.5496	0.5742	0.6876	0.6262	0.6886
ERR1843007	0.5182	0.2004	0.4516	0.522	0.59	0.3706	0.4422	0.492	0.6096	0.6004	0.0	0.4862	0.6116	0.6094	0.3904	0.4156	0.5394	0.6072	0.5536	0.3226	0.446	0.47	0.5576	0.582	0.489	0.4928	0.4766
ERR1843008	0.4742	0.453	0.2386	0.4278	0.5818	0.4592	0.4252	0.3536	0.6004	0.5396	0.4862	0.0	0.5524	0.5782	0.4998	0.4426	0.462	0.5308	0.3514	0.3768	0.3204	0.388	0.3818	0.3952	0.4428	0.4064	0.4352
ERR1843009	0.2612	0.642	0.4554	0.2456	0.382	0.504	0.5346	0.4098	0.3888	0.2998	0.6116	0.5524	0.0	0.3542	0.651	0.4634	0.3922	0.2928	0.388	0.66	0.5594	0.4912	0.487	0.4894	0.625	0.5666	0.6464
ERR1843010	0.3522	0.6372	0.4888	0.3232	0.1748	0.49	0.5222	0.442	0.3042	0.405	0.6094	0.5782	0.3542	0.0	0.6708	0.3956	0.4636	0.3228	0.3624	0.6464	0.5014	0.4534	0.4158	0.3958	0.613	0.5564	0.6408
ERR1843011	0.5838	0.4062	0.4798	0.5138	0.6572	0.4292	0.464	0.4894	0.6814	0.6262	0.3904	0.4998	0.651	0.6708	0.0	0.481	0.5102	0.5652	0.5624	0.4298	0.5506	0.5318	0.5734	0.59	0.5342	0.546	0.5126
ERR1843012	0.4458	0.4352	0.3996	0.3408	0.3372	0.2998	0.2422	0.3178	0.3696	0.5634	0.4156	0.4426	0.4634	0.3956	0.481	0.0	0.3254	0.42	0.414	0.4354	0.381	0.3024	0.399	0.3166	0.41	0.4166	0.4276
ERR1843013	0.4136	0.5618	0.414	0.244	0.4148	0.4294	0.4106	0.2144	0.422	0.5198	0.5394	0.462	0.3922	0.4636	0.5102	0.3254	0.0	0.4218	0.4292	0.541	0.3868	0.3392	0.4876	0.412	0.5436	0.4356	0.5616
ERR1843014	0.3554	0.6372	0.4632	0.3014	0.34	0.4662	0.4906	0.4446	0.3424	0.3644	0.6072	0.5308	0.2928	0.3228	0.5652	0.42	0.4218	0.0	0.4348	0.6288	0.5842	0.5242	0.416	0.4438	0.608	0.603	0.655
ERR1843015	0.3302	0.5478	0.32	0.261	0.3842	0.5166	0.4042	0.3282	0.4728	0.4272	0.5536	0.3514	0.388	0.3624	0.5624	0.414	0.4292	0.4348	0.0	0.5008	0.2782	0.2642	0.2376	0.2554	0.3362	0.2572	0.3452
ERR1843016	0.5572	0.258	0.4052	0.5256	0.6322	0.4288	0.4314	0.4806	0.6584	0.624	0.3226	0.3768	0.66	0.6464	0.4298	0.4354	0.541	0.6288	0.5008	0.0	0.3658	0.4246	0.5156	0.5408	0.3436	0.4152	0.3246
ERR1843017	0.5024	0.4298	0.3166	0.3916	0.4946	0.4816	0.3792	0.303	0.5544	0.593	0.446	0.3204	0.5594	0.5014	0.5506	0.381	0.3868	0.5842	0.2782	0.3658	0.0	0.1626	0.3406	0.2944	0.2816	0.1996	0.2908
ERR1843018	0.487	0.4704	0.3544	0.3326	0.4356	0.4388	0.2972	0.2952	0.4996	0.5918	0.47	0.388	0.4912	0.4534	0.5318	0.3024	0.3392	0.5242	0.2642	0.4246	0.1626	0.0	0.2994	0.2366	0.241	0.1752	0.2778
ERR1843019	0.4712	0.5518	0.3688	0.391	0.4314	0.4804	0.4154	0.3978	0.4464	0.5496	0.5576	0.3818	0.487	0.4158	0.5734	0.399	0.4876	0.416	0.2376	0.5156	0.3406	0.2994	0.0	0.147	0.302	0.2926	0.3264
ERR1843020	0.465	0.5842	0.3836	0.3542	0.3976	0.4644	0.382	0.3298	0.4116	0.5742	0.582	0.3952	0.4894	0.3958	0.59	0.3166	0.412	0.4438	0.2554	0.5408	0.2944	0.2366	0.147	0.0	0.3026	0.2454	0.3142
ERR1843021	0.6054	0.454	0.4588	0.5148	0.6174	0.4914	0.3482	0.4748	0.639	0.6876	0.489	0.4428	0.625	0.613	0.5342	0.41	0.5436	0.608	0.3362	0.3436	0.2816	0.241	0.302	0.3026	0.0	0.2122	0.1086
ERR1843022	0.5498	0.4824	0.4092	0.4238	0.5548	0.5368	0.4044	0.357	0.5928	0.6262	0.4928	0.4064	0.5666	0.5564	0.546	0.4166	0.4356	0.603	0.2572	0.4152	0.1996	0.1752	0.2926	0.2454	0.2122	0.0	0.1982
ERR1843023	0.6106	0.4314	0.4618	0.5338	0.6246	0.495	0.3844	0.4816	0.6764	0.6886	0.4766	0.4352	0.6464	0.6408	0.5126	0.4276	0.5616	0.655	0.3452	0.3246	0.2908	0.2778	0.3264	0.3142	0.1086	0.1982	0.0
