	ERR1842997	ERR1842998	ERR1842999	ERR1843000	ERR1843001	ERR1843002	ERR1843003	ERR1843004	ERR1843005	ERR1843006	ERR1843007	ERR1843008	ERR1843009	ERR1843010	ERR1843011	ERR1843012	ERR1843013	ERR1843014	ERR1843015	ERR1843016	ERR1843017	ERR1843018	ERR1843019	ERR1843020	ERR1843021	ERR1843022	ERR1843023
ERR1842997	0	0.5156668084184963	0.4461304240796643	0.6676823588488084	0.3742397533973549	0.3705161126490817	0.5099823234652092	0.4185057675544857	0.4602406480805329	0.5177128806584809	0.449534117971103	0.408669007142748	0.4764204320687392	0.4270390375478984	0.4837266200663953	0.4708467229458496	0.4025491292566803	0.3741754721121135	0.3705218213491651	0.4647468599571197	0.3997734786244908	0.5295820106236289	0.4546829546524478	0.4680458061107693	0.5463828335897483	0.4536957337590726	0.5058278578789992
ERR1842998	0.5156668084184963	0	0.5673060337162404	0.7143014228047315	0.5048641061298923	0.5238763516456936	0.6471910734111521	0.5434832403865737	0.5264480343859951	0.6107068321445532	0.4526552723804452	0.4884180871849017	0.5262254598861118	0.5218825462422824	0.6322340257343022	0.623445202147674	0.5310331943644263	0.5864984528621882	0.5804912179049089	0.5039416344487	0.5462671562281578	0.626603652581131	0.5581793346146189	0.5957024024538075	0.6382471337020267	0.5255786508936851	0.5402911901755013
ERR1842999	0.4461304240796643	0.5673060337162404	0	0.6926939601817009	0.5189396501806494	0.4432486312500246	0.5484908969480212	0.4823439808964104	0.5150246866609058	0.6017539865076521	0.4493776810226641	0.4215654546162383	0.5710760363413351	0.5148365876216651	0.4539816088520015	0.5141998124918175	0.4893770706245425	0.4830115828547761	0.5506391461879544	0.4286538512431997	0.4904407926309267	0.5844992676344506	0.5491521984896256	0.5142234401281457	0.543858031348694	0.5603588084121836	0.5469294464786103
ERR1843000	0.6676823588488084	0.7143014228047315	0.6926939601817009	0	0.6710342391002021	0.6538030722878395	0.424033129312148	0.6607758728226176	0.6311857659745786	0.4908285877155319	0.676006493354583	0.6384033697731168	0.6201407304912968	0.6519692255189914	0.6990282208987114	0.5382153263742404	0.6678542507916735	0.6691282625039626	0.6811260931529484	0.6768451801297022	0.662908962225359	0.7125903792730879	0.6867419176105783	0.6887144136443034	0.6914473265473459	0.6832209166625547	0.6632670590912869
ERR1843001	0.3742397533973549	0.5048641061298923	0.5189396501806494	0.6710342391002021	0	0.3830663442810093	0.5523917503889397	0.4764467489001325	0.3579926054828926	0.5894505421114987	0.525460217757024	0.4421422619750039	0.4229512919852658	0.3139989497696269	0.548020178675812	0.5182314273975496	0.4461296248590594	0.4415431241043679	0.4709790638307826	0.4854168999814023	0.4985034374866563	0.5498135106503207	0.5093453702186492	0.4952395300141687	0.6116912951800714	0.4583244266070495	0.5046212772457038
ERR1843002	0.3705161126490817	0.5238763516456936	0.4432486312500246	0.6538030722878395	0.3830663442810093	0	0.5126260034544423	0.4407895351546099	0.3969039813608387	0.5952986566311095	0.4733549806171959	0.3964585079716946	0.4597678110833928	0.3848581332540722	0.4232503083218047	0.4771095850912659	0.4196928312005822	0.4420843132164433	0.5353152868672856	0.4582646548175422	0.484759187195741	0.5667832251873359	0.5079985694061104	0.5483779412528708	0.5527365393387167	0.5099682264630774	0.5387168981743242
ERR1843003	0.5099823234652092	0.6471910734111521	0.5484908969480212	0.424033129312148	0.5523917503889397	0.5126260034544423	0	0.5660788647307194	0.5386957360200337	0.3577423584323847	0.5208762310606418	0.5488581527091925	0.5818971349637463	0.5393433210718226	0.5390070156992556	0.5638707279039217	0.518811798633344	0.5179858275451165	0.5862602385315197	0.5423840544795246	0.5718337761926634	0.6249014913054425	0.5793334787218267	0.5700164952773578	0.5825201703073085	0.6021397920342867	0.5906073785795045
ERR1843004	0.4185057675544857	0.5434832403865737	0.4823439808964104	0.6607758728226176	0.4764467489001325	0.4407895351546099	0.5660788647307194	0	0.3782927817950121	0.5881726731630655	0.4826725197804098	0.4028735430899021	0.4249810496834042	0.472263768858462	0.484738473236719	0.502112386247536	0.3946541339179701	0.4739756817285456	0.4534857046792192	0.4519049482009299	0.4469774209327156	0.5210463910454252	0.5074400941348324	0.4794037013405794	0.559697409860858	0.4215714536839008	0.546539099878299
ERR1843005	0.4602406480805329	0.5264480343859951	0.5150246866609058	0.6311857659745786	0.3579926054828926	0.3969039813608387	0.5386957360200337	0.3782927817950121	0	0.6485304786191761	0.5104035440596508	0.4799538839549438	0.431302095313894	0.4081857719712295	0.5083773139447888	0.5035510567698633	0.4132409365804294	0.4032045507817574	0.5039664685866535	0.5003172476146401	0.5072028181968399	0.5307976782908825	0.5493872423971585	0.5184444850202264	0.6005271800978063	0.4551485239440738	0.5225199765719681
ERR1843006	0.5177128806584809	0.6107068321445532	0.6017539865076521	0.4908285877155319	0.5894505421114987	0.5952986566311095	0.3577423584323847	0.5881726731630655	0.6485304786191761	0	0.5795815936914529	0.558810298467166	0.6022520795158441	0.5990652223013021	0.639244678562252	0.6440529443321592	0.5969980014019942	0.6181618672560029	0.6038093107156243	0.5997351659643946	0.5755704055079711	0.681624627793298	0.6263422647274794	0.5957203318748236	0.6819987125473075	0.6171840398376178	0.6248833730935409
