	ERR1842970	ERR1842971	ERR1842972	ERR1842973	ERR1842974	ERR1842975	ERR1842976	ERR1842977	ERR1842978	ERR1842979	ERR1842980	ERR1842981	ERR1842982	ERR1842983	ERR1842984	ERR1842985	ERR1842986	ERR1842987	ERR1842988	ERR1842989	ERR1842990	ERR1842991	ERR1842992	ERR1842993	ERR1842994	ERR1842995	ERR1842996
ERR1842970	0.0	0.709525	0.6408	0.61575	0.725725	0.72775	0.660675	0.6807	0.732575	0.2356	0.7017	0.617575	0.622675	0.7033	0.71285	0.7111	0.671675	0.61735	0.521425	0.721075	0.72455	0.75945	0.758	0.716875	0.766425	0.755025	0.780575
ERR1842971	0.709525	0.0	0.601825	0.757325	0.84895	0.697525	0.7043	0.7261	0.8008	0.725825	0.3146	0.6436	0.753475	0.842025	0.73905	0.7458	0.730125	0.802625	0.793425	0.52265	0.712225	0.816425	0.88165	0.8346	0.7455	0.802475	0.7481
ERR1842972	0.6408	0.601825	0.0	0.672	0.810275	0.672	0.6871	0.66965	0.7718	0.652275	0.620825	0.3486	0.658	0.8034	0.692575	0.723625	0.678425	0.72035	0.762625	0.65625	0.48855	0.7873	0.861225	0.799975	0.771475	0.75465	0.743275
ERR1842973	0.61575	0.757325	0.672	0.0	0.73575	0.67145	0.572975	0.559225	0.72355	0.612125	0.75035	0.62395	0.291225	0.69975	0.613275	0.638875	0.546675	0.5627	0.7206	0.751575	0.72185	0.57925	0.75405	0.713275	0.67965	0.6533	0.730225
ERR1842974	0.725725	0.84895	0.810275	0.73575	0.0	0.747225	0.784375	0.77455	0.63615	0.7354	0.826675	0.8161	0.713075	0.386975	0.80225	0.760275	0.8101	0.690475	0.814425	0.876775	0.856175	0.83415	0.6773	0.7547	0.856375	0.83795	0.827525
ERR1842975	0.72775	0.697525	0.672	0.67145	0.747225	0.0	0.607	0.6377	0.658725	0.72515	0.71395	0.687375	0.646275	0.7384	0.40335	0.618125	0.6672	0.692425	0.809925	0.742425	0.764725	0.789325	0.840375	0.8093	0.719225	0.769725	0.5927
ERR1842976	0.660675	0.7043	0.6871	0.572975	0.784375	0.607	0.0	0.565175	0.723625	0.646775	0.6906	0.675225	0.564425	0.7198	0.59895	0.33	0.5742	0.645725	0.736925	0.70065	0.750125	0.713075	0.78875	0.75555	0.474225	0.68145	0.69435
ERR1842977	0.6807	0.7261	0.66965	0.559225	0.77455	0.6377	0.565175	0.0	0.6989	0.687175	0.723775	0.670725	0.558875	0.733475	0.6652	0.6097	0.303125	0.6493	0.747825	0.751675	0.718425	0.71155	0.800825	0.75	0.6493	0.510325	0.7416
ERR1842978	0.732575	0.8008	0.7718	0.72355	0.63615	0.658725	0.723625	0.6989	0.0	0.7264	0.7938	0.801875	0.6863	0.6263	0.754325	0.69315	0.75515	0.5751	0.8135	0.85685	0.850275	0.82245	0.798075	0.725425	0.8238	0.81215	0.821875
ERR1842979	0.2356	0.725825	0.652275	0.612125	0.7354	0.72515	0.646775	0.687175	0.7264	0.0	0.71415	0.62055	0.6021	0.695075	0.691225	0.691625	0.6822	0.613625	0.549275	0.730725	0.7384	0.771525	0.7599	0.729675	0.77	0.7637	0.784
