	pielou_evenness
ERR1842970	0.8559949490550641
ERR1842971	0.8639739155564132
ERR1842972	0.8620495540968546
ERR1842973	0.8782129436990582
ERR1842974	0.8686751732902083
ERR1842975	0.8769480887693525
ERR1842976	0.8883023925544188
ERR1842977	0.8780496299582333
ERR1842978	0.8795054660843244
ERR1842979	0.8522251076215829
ERR1842980	0.886435888026998
ERR1842981	0.862926998186463
ERR1842982	0.8855422381233193
ERR1842983	0.8700204576318741
ERR1842984	0.8716904535115861
ERR1842985	0.88332742226392
ERR1842986	0.8577740109174291
ERR1842987	0.8396064688645033
ERR1842988	0.9186370507923829
ERR1842989	0.8499355102934674
ERR1842990	0.8622476283148037
ERR1842991	0.9357664712335438
ERR1842992	0.9061699837812217
ERR1842993	0.8988598993462387
ERR1842994	0.9236607555138707
ERR1842995	0.9212209807382679
ERR1842996	0.9188790379594262
