	ERR1842970	ERR1842971	ERR1842972	ERR1842973	ERR1842974	ERR1842975	ERR1842976	ERR1842977	ERR1842978	ERR1842979	ERR1842980	ERR1842981	ERR1842982	ERR1842983	ERR1842984	ERR1842985	ERR1842986	ERR1842987	ERR1842988	ERR1842989	ERR1842990	ERR1842991	ERR1842992	ERR1842993	ERR1842994	ERR1842995	ERR1842996
ERR1842970	0.0	0.8164082041020511	0.779265873015873	0.7903225806451613	0.7835671342685371	0.8130004710315591	0.8036311514572384	0.8003848003848004	0.8060453400503779	0.5003331112591606	0.8212137780207763	0.7962861824139814	0.8009569377990431	0.7739443872296602	0.8319544984488108	0.8220424671385238	0.8030009680542111	0.7788609543355567	0.6655755591925805	0.8525198938992042	0.8246719160104987	0.8261656858306926	0.8101851851851852	0.796235294117647	0.8438207333635129	0.8247663551401869	0.8365160689333955
ERR1842971	0.8164082041020511	0.0	0.7124928693667998	0.8628464067637388	0.8924302788844621	0.7956318252730109	0.8174807197943444	0.8657751362060426	0.8753894080996885	0.8282770463651975	0.4821150855365474	0.7365761212886923	0.8598315998018822	0.8904179408766565	0.8176064441887226	0.8388858547241944	0.8586519114688129	0.8789283874291602	0.8739326971371171	0.6348432055749129	0.782166367444644	0.88468720821662	0.9220956719817768	0.9015398973401774	0.8469087340529932	0.8819545234639574	0.8199588477366255
ERR1842972	0.779265873015873	0.7124928693667998	0.0	0.8143261074458058	0.8632352941176471	0.7686414708886619	0.8084577114427861	0.8075	0.8440695296523517	0.7891464104013567	0.7309361438313701	0.534965034965035	0.814540059347181	0.8490374873353597	0.8015607580824972	0.8211252653927813	0.8108651911468813	0.837173579109063	0.8482010842779695	0.7707959305804907	0.6363636363636364	0.85	0.8909418657052727	0.8598696461824954	0.8417811463761251	0.8359941944847605	0.8066933066933067
ERR1842973	0.7903225806451613	0.8628464067637388	0.8143261074458058	0.0	0.8091127098321343	0.8039944263817929	0.7607748184019371	0.7299451918285998	0.8136007827788649	0.8076525336091003	0.8649897330595483	0.8104265402843602	0.5604272062956718	0.7934621099554234	0.8066013408973698	0.7737789203084833	0.7258064516129032	0.7601832993890021	0.8345759552656105	0.8746829020801623	0.8271983640081799	0.7281460134486071	0.8317757009345794	0.813890149795733	0.8081315669255368	0.7720974677496416	0.8272852549379881
ERR1842974	0.7835671342685371	0.8924302788844621	0.8632352941176471	0.8091127098321343	0.0	0.8239366963402571	0.8455522971652004	0.8356435643564356	0.7525195968645016	0.7948571428571428	0.8921892189218922	0.8719912472647703	0.7938775510204081	0.5820139328689043	0.8463215258855585	0.8324439701173959	0.8471810089020771	0.7682993946064942	0.848575712143928	0.9093362115488397	0.891062929666843	0.8731034482758621	0.76751269035533	0.8266148615832929	0.8864265927977839	0.8742884250474383	0.8700239808153477
ERR1842975	0.8130004710315591	0.7956318252730109	0.7686414708886619	0.8039944263817929	0.8239366963402571	0.0	0.7543147208121828	0.7960591133004926	0.7929240374609782	0.8229946524064171	0.8128523111612176	0.7844243792325056	0.7877591312931885	0.8113207547169812	0.5674448767833982	0.7534171678512849	0.7842448569994982	0.7908666320705761	0.8840242198416395	0.8293628808864266	0.8218514531754575	0.8591296545536115	0.8780053428317008	0.8558394160583942	0.8266166822867854	0.8432660722665415	0.709541381128097
ERR1842976	0.8036311514572384	0.8174807197943444	0.8084577114427861	0.7607748184019371	0.8455522971652004	0.7543147208121828	0.0	0.7535934291581109	0.8190671450538185	0.8131450298750679	0.8165345413363534	0.8102392877017252	0.7551020408163265	0.8212830957230143	0.7728035814213766	0.5505761843790012	0.7611940298507462	0.7954190525767829	0.8435374149659864	0.8311036789297659	0.8285714285714286	0.8130577736026303	0.8497932935231971	0.8300469483568075	0.6389496717724289	0.795968534906588	0.7972304648862513
ERR1842977	0.8003848003848004	0.8657751362060426	0.8075	0.7299451918285998	0.8356435643564356	0.7960591133004926	0.7535934291581109	0.0	0.8070722828913156	0.8095238095238095	0.8664850136239782	0.8058361391694725	0.7270822420115244	0.8130792996910402	0.7965821389195149	0.7683060109289618	0.5586289837642814	0.7770700636942676	0.8523002421307506	0.8731101511879049	0.8308108108108108	0.7997138769670958	0.8570119156736938	0.828692779613025	0.8011611030478955	0.6801948051948052	0.8372539606337014
ERR1842978	0.8060453400503779	0.8753894080996885	0.8440695296523517	0.8136007827788649	0.7525195968645016	0.7929240374609782	0.8190671450538185	0.8070722828913156	0.0	0.8054746651135701	0.8719723183391004	0.8587699316628702	0.7907708442579968	0.7551369863013698	0.8327664399092971	0.8020247469066367	0.8173777315296566	0.6526576019777504	0.8645096056622852	0.9008958566629339	0.8839627805145046	0.8738823529411764	0.8578313253012049	0.778238341968912	0.8747609942638623	0.8618485742379548	0.8668639053254438
ERR1842979	0.5003331112591606	0.8282770463651975	0.7891464104013567	0.8076525336091003	0.7948571428571428	0.8229946524064171	0.8131450298750679	0.8095238095238095	0.8054746651135701	0.0	0.8284438775510204	0.787001287001287	0.8003291278113001	0.7704233750745378	0.8355342136854742	0.8163625662154208	0.8073089700996677	0.7862190812720848	0.7030487804878048	0.8539465506525793	0.830694275274056	0.8450990350431691	0.8294331773270931	0.8153439153439154	0.8596938775510204	0.8356309650053022	0.8495248152059134
ERR1842980	0.8212137780207763	0.4821150855365474	0.7309361438313701	0.8649897330595483	0.8921892189218922	0.8128523111612176	0.8165345413363534	0.8664850136239782	0.8719723183391004	0.8284438775510204	0.0	0.7473757872638208	0.8599455040871935	0.8830210107893243	0.8127413127413128	0.8366727383120826	0.8554752640355753	0.8810472396129767	0.8667038482989403	0.611904761904762	0.7735215053763441	0.8808423215202876	0.9122098890010091	0.8925619834710744	0.8525469168900804	0.8776709401709402	0.8111808328579578
ERR1842981	0.7962861824139814	0.7365761212886923	0.534965034965035	0.8104265402843602	0.8719912472647703	0.7844243792325056	0.8102392877017252	0.8058361391694725	0.8587699316628702	0.787001287001287	0.7473757872638208	0.0	0.8091263216471898	0.8673412029229904	0.7880921895006402	0.8260609683203826	0.8014789533560864	0.8215330602691633	0.8495575221238938	0.7606896551724138	0.6227941176470588	0.8508771929824561	0.897448724362181	0.860114404576183	0.8411016949152542	0.8358613217768147	0.7934352009054896
