	shannon_entropy
ERR1842970	8.840332899433815
ERR1842971	8.707259414926535
ERR1842972	8.792622996800207
ERR1842973	9.12289123935965
ERR1842974	8.8245320312973
ERR1842975	9.00651585764647
ERR1842976	9.106416352583475
ERR1842977	8.990875699528063
ERR1842978	8.868475185536642
ERR1842979	8.450561370790952
ERR1842980	8.657401726035182
ERR1842981	8.494585243173379
ERR1842982	9.080215051230914
ERR1842983	8.785494493998664
ERR1842984	8.653949274129888
ERR1842985	8.859144433342319
ERR1842986	8.761577481039861
ERR1842987	8.477267357990838
ERR1842988	9.352783682915197
ERR1842989	8.310734974780518
ERR1842990	8.53439376986721
ERR1842991	9.688127671059108
ERR1842992	9.358518211986812
ERR1842993	9.270856016324199
ERR1842994	9.52245871794126
ERR1842995	9.455819878912408
ERR1842996	9.413331185321873
